t,prev_t,dt,_dt_sum,de,vx,vy,vz,ax,ay,az,x,y,z,v_current,v_ref,throttle_computer,throttle_vehicle,kp,ki,kd
358.26834,0,0,0,0,-0.002267392,0.0019867017,-0.00010206908,-0.0032958984,-0.0035095215,-0.99887085,-1.180705,-0.69310224,2.1216893,0.0030163667256384685,3.0,0.3236742323936311,0.0,0.108, 0.0,-0.054
358.35037,358.26834,0.08202999999997473,0,0,0.0020792735,-0.0005555466500000001,-0.00189382539,-0.0032043457,-0.0017852783,-0.99935913,-1.179198,-0.69379115,2.121049,0.0028668074535861533,3.0,0.3236903847950127,0.0,0.108, 0.0,-0.054
358.41718,358.35037,0.06680999999997539,0,0,0.006302832666666668,-0.0282059611,-0.048915776926666675,-0.004180908,-0.0008239746,-0.9985962,-1.1790092,-0.69491655,2.119094,0.056815976393424145,3.0,0.3178638745495102,0.0,0.108, 0.0,-0.054
358.48358,358.41718,0.0664000000000442,0,0,0.004263515975000001,-0.021315296265000002,-0.03697434187,-0.003479004,-0.0021362305,-0.99853516,-1.1790189,-0.69542515,2.1182203,0.0428908076404891,3.0,0.3193677927748272,0.0,0.108, 0.0,-0.054
358.55023,358.48358,0.06664999999998145,0.28188999999997577,0,0.0038004696800000006,-0.017641020012000002,-0.031272761896,-0.0030975342,-0.00018310547,-0.99957275,-1.178583,-0.69611895,2.1163168,0.03610588308650397,3.0,0.3201005646266576,0.0,0.108, 0.0,-0.054
358.58322,358.55023,0.032989999999983866,0.31487999999995964,0,0.004313367694000001,-0.01813230758,-0.03155747582,-0.0026245117,0.00050354004,-0.99838257,-1.1785676,-0.69614196,2.116243,0.03665051158127609,3.0,0.3200417447492222,0.0,0.108, 0.0,-0.054
358.65118,358.58322,0.06796000000002778,0.3008100000000127,0,0.0033738719340000002,-0.01866923358,-0.03401339288,-0.002746582,-0.002609253,-0.997879,-1.1784395,-0.69659245,2.1150372,0.038946555553743996,3.0,0.31979377200019565,0.0,0.108, 0.0,-0.054
358.81683,358.65118,0.165649999999971,0.3996500000000083,0,0.00042213762920000005,-0.00296288738,-0.00792250328,-0.001159668,-0.002532959,-0.9985199,-1.178393,-0.69693726,2.1138058,0.008468940903451896,3.0,0.3230853543824272,0.0,0.108, 0.0,-0.054
358.9036,358.81683,0.08677000000000135,0.4200199999999654,0,0.0008163822652,-0.002806327416,-0.008084388199999999,-0.0030670166,0.0005187988,-0.99864197,-1.1783867,-0.69707596,2.113361,0.008596469399528248,3.0,0.323071581304851,0.0,0.108, 0.0,-0.054
358.98575,358.9036,0.08215000000001282,0.4355199999999968,0,0.00044988542720000006,-0.0022863812680000003,-0.00683114096,-0.00093078613,-0.0014038086,-0.9989166,-1.1783919,-0.69725156,2.1129482,0.007217646639705905,3.0,0.32322049416291176,0.0,0.108, 0.0,-0.054
359.01712,358.98575,0.031369999999981246,0.4338999999999942,0,0.00034969145320000005,-0.00278011664,-0.00680256974,-0.0038757324,-0.0013427734,-0.99972534,-1.1783917,-0.69729286,2.1128886,0.007357057000731316,3.0,0.32320543784392103,0.0,0.108, 0.0,-0.054
359.0669,359.01712,0.04977999999999838,0.4157199999999648,0,-3.914733999999998e-06,-0.00169881604,-0.0037361626939999997,-0.0014801025,-0.001159668,-0.99980164,-1.178397,-0.69736254,2.112875,0.004104254248818037,3.0,0.32355674054112765,0.1,0.108, 0.0,-0.054
359.1187,359.0669,0.05180000000001428,0.3018700000000081,0,4.17132588e-05,-0.00160098592,-0.0004159503740000001,-0.0021209717,-0.000289917,-0.99946594,-1.1783886,-0.6974573,2.1129365,0.0016546632967551743,3.0,0.3238212963639504,0.15,0.108, 0.0,-0.054
359.1668,359.1187,0.04810000000003356,0.2632000000000403,0,3.71937468e-05,-0.001628885532,4.8155386000000046e-05,-0.013061523,-0.0014801025,-1.0003204,-1.1783799,-0.6974865,2.1129758,0.0016300215926056793,3.0,0.3238239576679986,0.25,0.108, 0.0,-0.054
359.2184,359.1668,0.051599999999950796,0.23264999999997826,0,-3.6053565200000004e-05,-0.00205122686,-0.0004004481739999999,-0.120529175,0.52622986,-1.0664062,-1.1783782,-0.69751745,2.1129067,0.0020902608044952252,3.0,0.32377425183311453,0.3,0.108, 0.0,-0.054
360.50406,359.2184,1.2856600000000071,1.4869400000000041,0,-0.0203447612052,0.05512369974,-0.342847531654,-0.27799988,-0.9509735,-1.2394714,-1.2497587,-0.2233646,-0.25459683,0.34784617511590216,3.0,0.2864326130874826,0.35,0.108, 0.0,-0.054
360.56577,360.50406,0.06171000000000504,1.4988700000000108,0,-0.042241791058,0.13407887814000002,-0.7388925452999999,0.53718567,0.47206116,-1.4708557,-1.2554984,-0.20407559,-0.38511696,0.7521460682440487,3.0,0.24276822462964273,0.4,0.108, 0.0,-0.054
360.60413,360.56577,0.038360000000011496,1.485430000000008,0,-0.062954378946,0.19384943382,-1.04896529122,0.2828369,0.35723877,-0.63279724,-1.259361,-0.19179007,-0.44599974,1.0685827244556552,3.0,0.20859306575878925,0.5,0.108, 0.0,-0.054
360.66776,360.60413,0.0636299999999892,1.5009599999999637,0,-0.09410261724999999,0.27480989382,-1.42510256472,-0.8892212,-0.26893616,-0.38168335,-1.2647865,-0.1738859,-0.5660751,1.4544047236880735,3.0,0.16692428984168808,0.6,0.108, 0.0,-0.054
360.7037,360.66776,0.03594000000003916,1.485300000000052,0,-0.10350087640000001,0.31685021,-1.72615536,-0.046417236,1.1335907,-1.0964813,-1.2679648,-0.1646404,-0.6252575,1.7580440306913083,3.0,0.1341312446853387,0.65,0.108, 0.0,-0.054
360.74997,360.7037,0.046269999999992706,0.2459100000000376,0,-0.11284744440000001,0.33901469000000006,-1.82577404,-0.3889618,1.2170715,-1.0588837,-1.274891,-0.1459139,-0.72613263,1.8604075765491088,3.0,0.12307598173269625,0.7,0.108, 0.0,-0.054
360.86597,360.74997,0.11599999999998545,0.300200000000018,0,-0.1354843964,0.37094841599999995,-2.03414088,-0.04814148,0.87550354,-1.0389404,-1.2938973,-0.093816265,-1.0135678,2.0721215863669666,3.0,0.10021086867236761,0.0,0.108, 0.0,-0.054
360.93423,360.86597,0.06826000000000931,0.3301000000000158,0,-0.1691989524,0.423977482,-2.2878982399999996,0.18206787,-1.0034485,-0.080703735,-1.3049856,-0.05011678,-1.219218,2.3329945450710796,3.0,0.07203658913232344,0.0,0.108, 0.0,-0.054
360.9661,360.93423,0.03186999999996942,0.29833999999999605,0,-0.1746785644,0.490431432,-2.6086622200000003,-1.3368073,-0.4203949,-1.5639038,-1.3121722,-0.028972065,-1.3302735,2.660104164954776,3.0,0.03670875018488422,0.0,0.108, 0.0,-0.054
361.03363,360.9661,0.0675300000000334,0.3299299999999903,0,-0.220241968,0.5502141,-2.99495838,-0.38832092,-0.3764038,-1.6793671,-1.3239918,0.017880732,-1.5705993,3.0530341921176625,3.0,-0.005727692748707547,0.0,0.108, 0.0,-0.054
361.08496,361.03363,0.0513300000000072,0.3349900000000048,0,-0.22666922,0.5812511560000001,-3.17758478,-0.30885315,-0.16427612,-1.2130737,-1.3307039,0.051380284,-1.7449696,3.23825213282326,3.0,-0.025731230344912086,0.0,0.108, 0.0,-0.054
372.05362,361.08496,10.96866,11.18765000000002,0,-0.237099394,0.544823984,-2.6380257,-0.04774475,-0.27201843,-0.8969116,-1.9410068,-0.09872143,-0.9814018,2.7041133278835208,0.0,0.0,0.0,0.0, 0.0,0.0
372.5363,372.05362,0.48267999999995936,11.60206999999997,0,-0.098904934,0.4422191228,-2.1073307399999996,-0.21817017,-0.41282654,-1.0576172,-1.912473,0.04309648,-1.1471863,2.155500588329424,0.0,0.0,0.0,0.0, 0.0,0.0
372.61984,372.5363,0.0835400000000277,11.653740000000028,0,-0.032949044000000004,0.3551538488,-1.465863626,-0.0929718,-0.49813843,-1.0056915,-1.9007531,0.062148705,-1.1660172,1.508633840879832,0.0,0.0,0.0,0.0, 0.0,0.0
372.6511,372.61984,0.03125999999997475,11.617469999999969,0,0.09328348,0.3314005928,-0.827290788,0.08657837,-0.5240021,-0.9311371,-1.8858899,0.07702767,-1.1722965,0.8960681940894694,0.0,0.0,0.0,0.0, 0.0,0.0
372.71814,372.6511,0.06704000000001997,11.633179999999982,0,0.221595576,0.3204049388,-0.289160368,0.5238037,-0.88131714,-0.8387451,-1.8613479,0.10289356,-1.1950642,0.48515733791430893,0.0,0.0,0.0,0.0, 0.0,0.0
