t,prev_t,dt,_dt_sum,de,vx,vy,vz,ax,ay,az,x,y,z,v_current,v_ref,throttle_computer,throttle_vehicle,kp,ki,kd
354.01657,0,0,0,0,-0.0018883605,-1.64563e-05,0.0001974756,-0.0041503906,-0.0039367676,-0.9999237,0.42135936,0.17383623,-15.758122,0.0018987292593640882,3.0,0.3777607601133202,0.0,0.12600000000000003, 0.0,-0.036000000000000004
354.11624,354.01657,0.09967000000000326,0,0,-0.000733105375,-0.0002910477,-0.0025298202,-0.0043029785,-0.0046081543,-0.9997101,0.42129517,0.17382479,-15.758215,0.0026499325460956967,3.0,0.377666108499192,0.0,0.12600000000000003, 0.0,-0.036000000000000004
354.1709,354.11624,0.05466000000001259,0,0,-0.0006167896766666667,-0.00016602025799999999,-0.00143044128,-0.004272461,-0.0033111572,-1.0005493,0.4212586,0.1738255,-15.758227,0.0015665741242714933,3.0,0.37780261166034185,0.37766612,0.12600000000000003, 0.0,-0.036000000000000004
354.28342,354.1709,0.11251999999996087,0,0,-0.0004625922575,-6.46382635e-05,-0.0007780522349999999,-0.009155273,-0.0038757324,-1.0000153,0.4212494,0.17377329,-15.758402,0.0009074882821258558,3.0,0.3778856564764522,0.3778026,0.12600000000000003, 0.0,-0.036000000000000004
354.3501,354.28342,0.06668000000001939,0.3335299999999961,-0.014024383422979984,-0.000370073806,-2.01797888e-05,-0.00047109384799999993,0.049819946,0.36627197,-0.8795624,0.42124176,0.17380548,-15.758375,0.0005994090918452817,3.0,0.3780647182886573,0.37788567,0.12600000000000003, 0.0,-0.036000000000000004
354.39935,354.3501,0.049250000000029104,0.3827800000000252,0.14639010219532625,0.002431982094,0.0011195413512,-0.018017436968,-0.1337738,1.1212769,-1.0873108,0.42142487,0.17395186,-15.76004,0.018215266801187305,3.0,0.3742409753610972,0.37788567,0.12600000000000003, 0.0,-0.036000000000000004
354.5015,354.39935,0.10214999999999463,0.3852600000000166,0.9738453358958834,0.027176208143999996,-0.0036218504287999997,-0.10216968576799998,0.7097168,-1.4579315,-0.08383179,0.43065643,0.17338705,-15.792522,0.10578425582073386,3.0,0.35493273040762874,0.37806472,0.12600000000000003, 0.0,-0.036000000000000004
354.55054,354.5015,0.04903999999999087,0.37963999999999487,2.2775656021718,0.05924159179999999,-0.007110583354,-0.23358935908,0.8123474,0.3512268,-0.5675049,0.43959492,0.17291594,-15.825273,0.24108943417337306,3.0,0.32484707527243706,0.35493273,0.12600000000000003, 0.0,-0.036000000000000004
354.59943,354.55054,0.04888999999997168,0.3160100000000057,5.279819016870269,0.11727519179999998,-0.017366922498000002,-0.44866592206,-0.44169617,1.3793182,-1.5611115,0.45162964,0.1713891,-15.868179,0.46406485562551314,3.0,0.26672963802248273,0.32484707,0.12600000000000003, 0.0,-0.036000000000000004
354.65073,354.59943,0.0513000000000261,0.3006300000000124,8.392347832489929,0.1848695238,-0.02608267192,-0.69438495,-0.47799683,0.08428955,-1.1920776,0.46723175,0.17051363,-15.922552,0.7190462470460628,3.0,0.2034766945472969,0.26672965,0.12600000000000003, 0.0,-0.036000000000000004
354.70178,354.65073,0.05104999999997517,0.30242999999995845,10.104560346754788,0.25147658,-0.0291515688,-0.920472302,-0.39060974,1.3180237,-1.7509766,0.48619843,0.17119479,-15.988102,0.9546515296175756,3.0,0.15666830380063762,0.2034767,0.12600000000000003, 0.0,-0.036000000000000004
354.77072,354.70178,0.06893999999999778,0.2692199999999616,12.112368074646563,0.298850704,-0.0338742528,-1.10675365,-0.054153442,0.1462555,-0.58540344,0.515152,0.16977334,-16.09211,1.1468926933555628,3.0,0.1123678398907335,0.1566683,0.12600000000000003, 0.0,-0.036000000000000004
354.8172,354.77072,0.04648000000003094,0.2666600000000017,12.302947798367466,0.363669316,-0.0367225918,-1.3259121200000001,-0.2965393,0.4305725,-1.5559845,0.5407181,0.16967988,-16.181992,1.3753715389345935,3.0,0.0816737081105666,0.1566683,0.12600000000000003, 0.0,-0.036000000000000004
354.87036,354.8172,0.053159999999991214,0.2709300000000212,10.721393136092189,0.410748566,-0.028126659199999998,-1.4693289799999998,0.11103821,0.017410278,-0.9729767,0.56989443,0.16975594,-16.283066,1.525920425479864,3.0,0.07852009502861529,0.11236784,0.12600000000000003, 0.0,-0.036000000000000004
354.91855,354.87036,0.04818999999997686,0.26781999999997197,9.797965391616493,0.459005744,-0.022224846200000002,-1.6196337,-0.044906616,1.0314026,-1.6858978,0.60108185,0.16846323,-16.393023,1.6835657216127018,3.0,0.06789106516063466,0.08167371,0.12600000000000003, 0.0,-0.036000000000000004
355.0012,354.91855,0.082650000000001,0.2994199999999978,9.990881775333186,0.542721624,-0.0251284872,-1.9017724,0.41333008,0.89385986,-0.96798706,0.6600189,0.16568542,-16.596096,1.9778565325695183,3.0,0.028881259142908858,0.06789107,0.12600000000000003, 0.0,-0.036000000000000004
355.03467,355.0012,0.03347000000002254,0.26395000000002256,10.94205651112837,0.610523784,-0.022641194999999996,-2.0901797,-0.27095032,1.0106964,-1.1875458,0.68695986,0.16507435,-16.68099,2.1776370434103103,3.0,-0.0058028325809827835,0.06789107,0.12600000000000003, 0.0,-0.036000000000000004
355.0836,355.03467,0.048929999999984375,0.266399999999976,12.611079370356046,0.702393288,-0.011661456,-2.35666686,-0.70474243,0.6773987,-1.2667389,0.7273102,0.164644,-16.809444,2.4591402988861275,3.0,-0.057962471363212476,-0.0058028325,0.12600000000000003, 0.0,-0.036000000000000004
355.13333,355.0836,0.04973000000001093,0.2629699999999957,13.71716433542027,0.780601418,-0.018148740200000003,-2.5695523600000003,0.25126648,-0.44506836,-1.0027161,0.76730794,0.16317439,-16.936548,2.685566473080871,3.0,-0.09755301896239245,-0.0058028325,0.12600000000000003, 0.0,-0.036000000000000004
355.17065,355.13333,0.037320000000022446,0.2521000000000413,10.809553073898227,0.808041708,-0.017073990799999997,-2.6126706000000004,0.06291199,-0.552124,-0.89263916,0.7939561,0.16292667,-17.021381,2.7348255131056822,3.0,-0.0746835453902982,-0.05796247,0.12600000000000003, 0.0,-0.036000000000000004
355.2348,355.17065,0.06414999999998372,0.233600000000024,7.4562937863261665,0.7899882380000001,-0.012066111440000001,-2.5414923000000003,0.1005249,0.66381836,-1.1374817,0.8420105,0.16179562,-17.184591,2.661467662434191,3.0,-0.03190786332996974,-0.07468355,0.12600000000000003, 0.0,-0.036000000000000004
355.28378,355.2348,0.048979999999971824,0.2491099999999733,5.4465605184663515,0.8034829379999999,-0.01213636064,-2.71980108,0.40203857,0.47953796,-0.94033813,0.8762299,0.160635,-17.305996,2.836027157429185,3.0,-0.03380502702074079,-0.031907864,0.12600000000000003, 0.0,-0.036000000000000004
355.33493,355.28378,0.05115000000000691,0.25132999999999583,-0.7236741537696864,0.744926118,-0.02237568064,-2.52745744,-0.44255066,-0.7369995,-0.71643066,0.9103349,0.1592009,-17.423626,2.6350439661178346,3.0,0.05322120180684975,-0.031907864,0.12600000000000003, 0.0,-0.036000000000000004
355.38348,355.33493,0.04855000000003429,0.2501500000000192,-1.2752827638981892,0.6839418580000001,-0.039972117439999996,-2.5559849,-0.7706146,-0.80799866,-0.7919769,0.9400711,0.15662694,-17.537292,2.646211073275361,3.0,0.05733023240628645,-0.033805028,0.12600000000000003, 0.0,-0.036000000000000004
355.4506,355.38348,0.06711999999998852,0.27994999999998527,-0.574385511673864,0.6578770520000001,-0.043957236840000004,-2.5323732199999998,0.49269104,0.07235718,-0.97605896,0.9809265,0.1540873,-17.68335,2.6168012113249994,3.0,0.05402690248978871,0.057330232,0.12600000000000003, 0.0,-0.036000000000000004
355.5015,355.4506,0.050900000000012824,0.26670000000001437,-3.824886664948641,0.614689712,-0.050464043199999996,-2.4770381,0.7829895,-0.118499756,-1.0357208,1.005539,0.15122914,-17.78982,2.5526668036675577,3.0,0.09461284938737413,0.0540269,0.12600000000000003, 0.0,-0.036000000000000004
355.55103,355.5015,0.04953000000000429,0.26725000000004684,-4.606304844752147,0.5637831600000001,-0.0513474758,-2.2221100000000003,-0.11418152,-0.10699463,-0.8288269,1.0330245,0.14874554,-17.891443,2.293089807851105,3.0,0.13513373265828232,0.09461285,0.12600000000000003, 0.0,-0.036000000000000004
355.60248,355.55103,0.05144999999998845,0.2675500000000284,-5.823796401219336,0.521614262,-0.05558763060000001,-2.15033086,0.8182373,-0.36947632,-1.0266724,1.05634,0.14546156,-17.990808,2.213389760179139,3.0,0.15735085422962186,0.09461285,0.12600000000000003, 0.0,-0.036000000000000004
355.6707,355.60248,0.06821999999999662,0.2872199999999907,-8.72637593726143,0.48898104800000003,-0.040050134599999995,-1.8568597599999996,-0.6295471,-0.653656,-0.8820343,1.0901031,0.14189601,-18.116306,1.9205818511305144,3.0,0.22327044613016955,0.15735085,0.12600000000000003, 0.0,-0.036000000000000004
355.70166,355.6707,0.030959999999993215,0.2510599999999954,-9.429123996726961,0.47261459400000005,-0.037293500199999996,-1.8348327999999998,1.2068329,0.1977539,-1.0382385,1.10383,0.14258361,-18.178593,1.8950901729402725,3.0,0.2335098781767953,0.15735085,0.12600000000000003, 0.0,-0.036000000000000004
355.7507,355.70166,0.04903999999999087,0.24919999999997344,-6.5131055253433985,0.470108608,-0.0411982184,-1.78077008,0.37449646,0.31666565,-1.0515137,1.126503,0.14065504,-18.268747,1.8422381698190486,3.0,0.2110090458562339,0.22327045,0.12600000000000003, 0.0,-0.036000000000000004
355.8017,355.7507,0.05099999999998772,0.25066999999995687,-5.576830954402999,0.46180329999999997,-0.043729841199999994,-1.76513822,0.9125519,0.81062317,-1.1613464,1.1490555,0.13741374,-18.356564,1.8250719225847059,3.0,0.2038092472983571,0.23350988,0.12600000000000003, 0.0,-0.036000000000000004
355.85077,355.8017,0.04907000000002881,0.24828999999999724,-1.4958894241838374,0.45185424999999996,-0.041571158399999995,-1.75985312,0.4663086,0.36584473,-1.083725,1.1710663,0.13543081,-18.446205,1.8174111885942363,3.0,0.16396508447896463,0.21100904,0.12600000000000003, 0.0,-0.036000000000000004
355.9163,355.85077,0.065529999999967,0.24559999999996762,0.48027089526189826,0.47953397400000003,-0.0426701976,-1.8667759800000003,-0.1362915,0.5783386,-1.0118103,1.2022018,0.13274598,-18.565292,1.927855320683691,3.0,0.130287520641236,0.16396509,0.12600000000000003, 0.0,-0.036000000000000004
355.97025,355.9163,0.05395000000004302,0.2685900000000174,0.21898167640110597,0.47281391,-0.05296649760000001,-1.79664866,-1.0851898,-0.9059448,-0.5853729,1.2268753,0.13067031,-18.659964,1.8585760277258756,3.0,0.14162960374252864,0.13028753,0.12600000000000003, 0.0,-0.036000000000000004
356.01788,355.97025,0.04762999999996964,0.2671799999999962,0.9277557940362275,0.498459286,-0.0556453024,-1.8263080000000003,-0.7180939,-0.115478516,-0.99072266,1.2542893,0.12878919,-18.759176,1.8939268650987604,3.0,0.13008765705719394,0.13028753,0.12600000000000003, 0.0,-0.036000000000000004
356.08496,356.01788,0.06708000000003267,0.28326000000004115,2.113810460458237,0.5529753059999999,-0.0447348432,-1.9045768799999998,0.16061401,0.5033264,-1.296875,1.2947174,0.12638283,-18.899591,1.9837328416579827,3.0,0.10691155734651184,0.13008766,0.12600000000000003, 0.0,-0.036000000000000004
356.13287,356.08496,0.047910000000001673,0.282100000000014,2.3217062160298383,0.6013422979999999,-0.0460791652,-2.02174788,-0.62171936,-0.6146393,-0.8974762,1.3266983,0.12456918,-19.011135,2.1097867994453714,3.0,0.08894980110958484,0.13008766,0.12600000000000003, 0.0,-0.036000000000000004
356.19968,356.13287,0.06680999999997539,0.2833800000000224,3.897876567357134,0.626131348,-0.0236819928,-2.07276932,0.2477417,0.035690308,-0.9315491,1.3729935,0.12885237,-19.163256,2.1654038781863623,3.0,0.06618034567494706,0.106911555,0.12600000000000003, 0.0,-0.036000000000000004
356.24963,356.19968,0.04995000000002392,0.2793800000000033,5.594576977493136,0.671686778,-0.009988261759999999,-2.22907454,-0.67897034,-0.1738739,-0.9908142,1.4077377,0.12793326,-19.278072,2.328097119535441,3.0,0.028713993163603083,0.06618035,0.12600000000000003, 0.0,-0.036000000000000004
356.2999,356.24963,0.05026999999995496,0.2820199999999886,7.10413726863019,0.7714051980000001,0.05159542424,-2.4197537799999997,-0.77659607,-0.4857025,-1.0707855,1.4442139,0.12985253,-19.391428,2.5402630617965953,3.0,-0.013114518472672886,0.028713994,0.12600000000000003, 0.0,-0.036000000000000004
356.35043,356.2999,0.05053000000003749,0.26546999999999343,5.532911175250822,0.755723618,0.04608298104000001,-2.4012578400000004,0.4749298,0.073913574,-1.015625,1.4797134,0.13017583,-19.505499,2.5177928910269824,3.0,0.0054289839780920154,0.028713994,0.12600000000000003, 0.0,-0.036000000000000004
356.4686,356.35043,0.11816999999996369,0.33572999999995545,3.778306894220052,0.780977206,0.043736431039999996,-2.39317564,0.2585144,-0.3256836,-1.2087097,1.5660416,0.13219571,-19.769178,2.5177624819631204,3.0,0.022978858330446328,0.005428984,0.12600000000000003, 0.0,-0.036000000000000004
356.50137,356.4686,0.03277000000002772,0.3016900000000078,1.7696075540487208,0.8203776460000001,0.08352592784,-2.3350667800000005,-0.5252228,0.17092896,-1.1127777,1.5940628,0.13655972,-19.843088,2.476395148141267,3.0,0.04827813579371321,0.022978859,0.12600000000000003, 0.0,-0.036000000000000004
356.56842,356.50137,0.06704999999999472,0.3187899999999786,-1.0336837108831556,0.822946892,0.08212344740000001,-2.3048385,0.036346436,0.34906006,-0.980896,1.6429001,0.13679743,-19.987055,2.448727497854257,3.0,0.07979717237919523,0.048278134,0.12600000000000003, 0.0,-0.036000000000000004
356.6178,356.56842,0.0493799999999851,0.31790000000000873,-3.185319234182733,0.7364735040000001,0.048127815399999996,-2.11122576,0.53067017,0.09274292,-0.8351593,1.6798874,0.14310956,-20.089153,2.2365115064306718,3.0,0.12805274253156274,0.07979717,0.12600000000000003, 0.0,-0.036000000000000004
356.8705,356.6178,0.25270000000000437,0.5200699999999756,-3.61933334149663,0.6618555840000001,0.0748416706,-1.8804175,-0.92836,-0.28041077,-0.90086365,1.842334,0.15758657,-20.560608,1.9948995122653248,3.0,0.16283599486953543,0.12805274,0.12600000000000003, 0.0,-0.036000000000000004
356.91797,356.8705,0.04747000000003254,0.44937000000004446,-4.439589358570001,0.618299016,0.0418344006,-1.8195875999999997,-0.79634094,0.3429718,-0.8972168,1.8745362,0.16595769,-20.646906,1.9222234064577115,3.0,0.18019574437202837,0.162836,0.12600000000000003, 0.0,-0.036000000000000004
356.97064,356.91797,0.05266999999997779,0.4692699999999945,-5.331229814179432,0.577249224,0.0414369346,-1.65554666,-1.0664978,-0.05206299,-0.8827362,1.9034287,0.16748285,-20.73491,1.7537868826042697,3.0,0.21033515093365635,0.18019575,0.12600000000000003, 0.0,-0.036000000000000004
357.03284,356.97064,0.06220000000001846,0.46442000000001826,-3.822927832259642,0.557899052,0.044546055800000005,-1.6510520199999998,0.65130615,0.32873535,-1.1150818,1.9425888,0.17645931,-20.851904,1.7433325775812014,3.0,0.19656937354736506,0.21033515,0.12600000000000003, 0.0,-0.036000000000000004
