t,prev_t,dt,_dt_sum,de,vx,vy,vz,ax,ay,az,x,y,z,v_current,v_ref,throttle_computer,throttle_vehicle,kp,ki,kd
606.7766,0,0,0,0,-0.000124934,9.428981e-05,7.5431846e-05,-0.0040130615,-0.0011444092,-0.998291,-0.45989227,0.4116919,-12.250696,0.00017374992378934678,3.0,0.3239812350082308,0.0,0.108, 0.0,-0.018000000000000002
606.7948,606.7766,0.0181999999999789,0,0,0.000147617035,6.0275157e-05,-6.7326097e-05,-0.003829956,-0.00093078613,-0.9992981,-0.45988464,0.41169238,-12.2507,0.00017308000147567393,3.0,0.32398130735984065,0.0,0.108, 0.0,-0.018000000000000002
606.8633,606.7948,0.0684999999999718,0,0,-4.005204333333332e-05,-3.337524533333333e-05,-0.00011411576466666667,-0.003540039,-0.0030670166,-0.9984131,-0.4598999,0.411685,-12.2507,0.00012546107333230274,3.0,0.3239864502040801,0.3239813,0.108, 0.0,-0.018000000000000002
606.92816,606.8633,0.06486000000006698,0,0,-3.0039032499999994e-05,-0.000124371814,-8.55868235e-05,-0.0044403076,-0.001953125,-0.9992981,-0.459912,0.4116645,-12.250684,0.00015393438845172578,3.0,0.3239833750860472,0.32398644,0.108, 0.0,-0.018000000000000002
606.9773,606.92816,0.04913999999996577,0.20069999999998345,0.005554167620604853,-0.00036023042599999994,-0.0002430825312,0.00021169654120000003,-0.00793457,0.34573364,-1.0559082,-0.4599228,0.41163898,-12.250662,0.0004833947686382049,3.0,0.32392002252688407,0.32398337,0.108, 0.0,-0.018000000000000002
607.028,606.9773,0.050700000000006185,0.25139999999998963,0.00648288434797181,-0.000335243626,-0.00041786427320000005,0.00032346342,-0.032730103,0.5067749,-1.0671387,-0.4599228,0.41160846,-12.250624,0.0006258014251091864,3.0,0.3238999990243484,0.32392,0.108, 0.0,-0.018000000000000002
607.1117,607.028,0.08370000000002165,0.3169000000000324,0.49158620788618274,0.01035738036,-0.000568650294,-0.042140819772,-0.15687561,0.50990295,-1.075531,-0.4572633,0.41179132,-12.259929,0.043398702539762246,3.0,0.3168550090862748,0.32389998,0.108, 0.0,-0.018000000000000002
607.1632,607.1117,0.051499999999919055,0.2998999999999796,1.6121755146601122,0.036239278400000005,-0.00043712278800000007,-0.129480648752,-0.08378601,0.816391,-0.81230164,-0.4517425,0.41143966,-12.279178,0.1344571112902672,3.0,0.30141775440735064,0.32389998,0.108, 0.0,-0.018000000000000002
607.19507,607.1632,0.031870000000026266,0.2669099999999389,3.3683730607475724,0.0664828584,-0.002457898884,-0.24121386875200002,-0.20097351,1.51091,-1.6983185,-0.4459839,0.41079545,-12.29859,0.25022018744750696,3.0,0.28013435445193136,0.316855,0.108, 0.0,-0.018000000000000002
607.24493,607.19507,0.04985999999996693,0.2676299999999401,5.417142494788693,0.10930027760000001,-0.0077011682040000005,-0.388177142752,-0.16378784,1.2553406,-1.2935181,-0.4351867,0.41061807,-12.336791,0.40334520305843474,3.0,0.2533530055957456,0.30141777,0.108, 0.0,-0.018000000000000002
607.29315,607.24493,0.04822000000001481,0.2651499999999487,7.767407928359419,0.1658303716,-0.011803828424,-0.592611796,-0.42425537,0.3875885,-0.7861328,-0.42104182,0.40909553,-12.384328,0.6154898725964572,3.0,0.21869005411778555,0.253353,0.108, 0.0,-0.018000000000000002
607.3452,607.29315,0.05205000000000837,0.23349999999993543,10.275840706771971,0.21790264599999998,-0.013006522504000001,-0.770639656,0.40937805,0.68611145,-0.9884033,-0.40325928,0.4080701,-12.443003,0.8009595571320981,3.0,0.18611716429587355,0.253353,0.108, 0.0,-0.018000000000000002
607.4101,607.3452,0.06490000000007967,0.24690000000009604,11.294258113890711,0.284926986,-0.0148546134,-0.984300768,0.124313354,-0.555954,-0.40849304,-0.3738327,0.40624213,-12.536148,1.0248180564254796,3.0,0.15684835933659466,0.18611716,0.108, 0.0,-0.018000000000000002
607.4641,607.4101,0.053999999999973625,0.2690300000000434,10.549458105947005,0.342527474,-0.0189931172,-1.141267648,0.05543518,0.85173035,-1.3269653,-0.3480835,0.40493536,-12.617603,1.1917120681260407,3.0,0.14254780611265258,0.15684836,0.108, 0.0,-0.018000000000000002
607.51184,607.4641,0.047739999999976135,0.2669100000000526,10.505436337723696,0.41120723400000003,-0.020571678000000003,-1.33220952,-0.34194946,0.08370972,-1.1359711,-0.3186798,0.40456343,-12.710619,1.3943804317360082,3.0,0.12087973168389265,0.15684836,0.108, 0.0,-0.018000000000000002
