t,prev_t,dt,_dt_sum,de,vx,vy,vz,ax,ay,az,x,y,z,v_current,v_ref,throttle_computer,throttle_vehicle,kp,ki,kd
344.17136,0,0,0,0,-0.001252505,-0.0011809333,0.00010735757,-0.0040283203,-0.0026855469,-0.9979706,-4.4616547,1.7277963,-6.914158,0.001724789228256657,2.0,0.28775163035113105,0.0,0.14400000000000002, 0.0,-0.09000000000000001
344.22104,344.17136,0.04968000000002348,0,0,-0.00117623585,-0.000923351315,-0.000308152365,-0.006652832,-0.0027923584,-0.9990845,-4.4616,1.7277846,-6.9140983,0.0015267829923707379,2.0,0.2877801432490986,0.28775164,0.14400000000000002, 0.0,-0.09000000000000001
344.28812,344.22104,0.06707999999997583,0,0,-0.0009089185066666667,-0.00022688817666666672,7.287868999999998e-05,-0.0056610107,-0.0015716553,-1.0002899,-4.4616685,1.7279336,-6.914026,0.0009396395053042439,2.0,0.2878646919112362,0.28778014,0.14400000000000002, 0.0,-0.09000000000000001
344.3583,344.28812,0.07017999999999347,0,0,-0.00129452003,-0.00027230465750000004,0.0001567975425,-0.0070495605,-0.004196167,-0.99661255,-4.4616838,1.7279305,-6.914022,0.0013321101320466835,2.0,0.2878081761409853,0.28786469,0.14400000000000002, 0.0,-0.09000000000000001
344.40582,344.3583,0.04752000000001999,0.23446000000001277,-0.012730246559474792,-0.000857510698,-0.00025469310400000003,4.5597718e-05,0.20196533,0.32357788,-0.97875977,-4.4617004,1.7279191,-6.914009,0.0008956965592746294,2.0,0.28818927585945137,0.28786469,0.14400000000000002, 0.0,-0.09000000000000001
344.45813,344.40582,0.05230999999997721,0.28676999999999,-0.012312182337789218,-0.00053961989,-8.330434400000001e-05,-1.7929539999999926e-06,-0.016784668,0.36909485,-0.88623047,-4.4616623,1.7279,-6.914028,0.0005460150676464236,2.0,0.2882291783887037,0.28780818,0.14400000000000002, 0.0,-0.09000000000000001
344.7212,344.45813,0.26307000000002745,0.5001599999999939,1.459169073089206,0.10551683345,-0.0038477228780000004,-0.174159650494,0.66156006,-0.3735962,-0.4499817,-4.3941865,1.7252393,-7.027906,0.2036668627264955,2.0,0.2221927449401545,0.28822917,0.14400000000000002, 0.0,-0.09000000000000001
344.77158,344.7212,0.050379999999961456,0.4834599999999796,3.6762821114621644,0.241834902214,-0.015964858498,-0.431650338654,0.36387634,-0.6456299,-0.6008301,-4.366225,1.7228827,-7.07805,0.4950363739118864,2.0,0.12480770937013425,0.28822917,0.14400000000000002, 0.0,-0.09000000000000001
344.8211,344.77158,0.04952000000002954,0.46280000000001564,6.012894975972235,0.375315927134,-0.023085496478,-0.6763916894740001,0.2074585,1.4516754,-1.5417633,-4.331955,1.7213111,-7.137398,0.7738867506926204,2.0,0.026237933500956795,0.22219275,0.14400000000000002, 0.0,-0.09000000000000001
344.8713,344.8211,0.05020000000001801,0.46548000000001366,9.261299257755649,0.582409521808,-0.0299167495,-1.046510789158,0.22537231,1.1431427,-1.1591797,-4.2924805,1.7204654,-7.2077026,1.198032009095487,2.0,-0.11604909075364137,0.12480771,0.14400000000000002, 0.0,-0.09000000000000001
