t,prev_t,dt,_dt_sum,de,vx,vy,vz,ax,ay,az,x,y,z,v_current,v_ref,throttle_computer,throttle_vehicle,kp,ki,kd
304.7519,0,0,0,0,-0.00060210214,-1.3089177e-05,0.00015707011,-0.010482788,-0.0037841797,-0.9992523,-4.6112094,1.5951002,-6.926553,0.0006223900167921469,2.0,0.28791037583758194,0.0,0.14400000000000002, 0.0,-0.07200000000000001
304.87082,304.7519,0.1189200000000028,0,0,-0.00219222952,-0.0005187387884999999,-0.00023666134499999997,-0.009796143,-0.005844116,-0.99832153,-4.6113496,1.5950856,-6.926637,0.0022651641863827635,2.0,0.2876738163571609,0.0,0.14400000000000002, 0.0,-0.07200000000000001
304.9708,304.87082,0.09998000000001639,0,0,-0.0030710633466666665,-0.0004967236989999999,-0.0014320226633333334,-0.011657715,-0.003692627,-0.9996033,-4.611412,1.5950594,-6.926697,0.0034247413655176945,2.0,0.28750683724336545,0.28767383,0.14400000000000002, 0.0,-0.07200000000000001
305.07034,304.9708,0.09953999999999041,0,0,-0.003213632735,-0.00045647438675,-0.0016615382975,0.029968262,0.33935547,-0.85813904,-4.611441,1.5950706,-6.9267783,0.003646438500137026,2.0,0.28747491285598026,0.28767383,0.14400000000000002, 0.0,-0.07200000000000001
305.13422,305.07034,0.06388000000004013,0.38232000000004973,0.1183851214552046,0.001686379412,-0.0004668368374,-0.013078352637999998,0.32894897,0.7986145,-1.0157013,-4.6111054,1.5950422,-6.927778,0.013194889915336641,2.0,0.28373223342308745,0.28750685,0.14400000000000002, 0.0,-0.07200000000000001
305.18472,305.13422,0.050499999999999545,0.4328200000000493,0.7050228226946054,0.036599651840000004,-0.001266677922,-0.07894820665999999,-0.188797,0.26383972,-0.90486145,-4.6058536,1.595052,-6.936742,0.08702849144158116,2.0,0.2613674407785202,0.28750685,0.14400000000000002, 0.0,-0.07200000000000001
305.235,305.18472,0.05027999999998656,0.36418000000003303,1.8420654152236469,0.08564949322000001,-0.003287020442,-0.16931054410000002,0.3874359,0.3244629,-0.99864197,-4.595404,1.5948274,-6.955751,0.18977012550890882,2.0,0.22383179362224417,0.2874749,0.14400000000000002, 0.0,-0.07200000000000001
305.3006,305.235,0.0655999999999608,0.32979999999997744,3.7709714193200248,0.16840985341999998,-0.0052932013379999995,-0.30575712703999997,0.5929718,-0.03904724,-0.8197174,-4.571921,1.595129,-6.995813,0.34910932019226465,2.0,0.1623088295059134,0.26136744,0.14400000000000002, 0.0,-0.07200000000000001
305.39984,305.3006,0.09924000000000888,0.3294999999999959,6.828476580829995,0.3041374416,-0.002478878048,-0.56105345,0.068618774,-0.11480713,-0.969635,-4.521263,1.5956845,-7.087719,0.6381901769662964,2.0,0.05953108290025344,0.16230883,0.14400000000000002, 0.0,-0.07200000000000001
305.43542,305.39984,0.03558000000003858,0.30119999999999436,9.604435233113408,0.43471320599999996,-0.007793687320000001,-0.7772588280000001,0.35539246,-0.036468506,-0.84606934,-4.499115,1.5955267,-7.126465,0.8905995726120545,2.0,-0.03233504311840399,0.16230883,0.14400000000000002, 0.0,-0.07200000000000001
