t,prev_t,dt,_dt_sum,de,vx,vy,vz,ax,ay,az,x,y,z,v_current,v_ref,throttle_computer,throttle_vehicle,kp,ki,kd
707.83093,0,0,0,0,0.0025031008,-0.0032966675,-0.0095636,-0.0055236816,-0.0018463135,-0.9986725,0.20365143,0.08230662,4.0168457,0.010420939265753203,3.0,0.32287453855929865,0.0,0.108, 0.0,-0.054
707.89966,707.83093,0.06873000000007323,0,0,-0.0026463251,-0.01343940725,-0.019853586,-0.004547119,-0.0035858154,-0.9979248,0.20362091,0.081805944,4.015953,0.02412023177387893,3.0,0.3213950149684211,0.0,0.108, 0.0,-0.054
707.96716,707.89966,0.06749999999999545,0,0,-0.0013253445,-0.010139909133333333,-0.01647728433333333,-0.0007019043,-0.0023956299,-0.9989624,0.20363775,0.081416845,4.0151505,0.019392658257120117,3.0,0.32190559290823106,0.0,0.108, 0.0,-0.054
708.0161,707.96716,0.04894000000001597,0,0,-0.00071812735,-0.00863691885,-0.01537211975,0.0030059814,-0.0019073486,-0.99838257,0.20369273,0.08121682,4.0145884,0.017646930036713,3.0,0.322094131556035,0.0,0.108, 0.0,-0.054
708.08466,708.0161,0.06855999999993401,0.25373000000001866,0,-0.00040831992,-0.007662547139999999,-0.0146242434,-0.006439209,-0.0034637451,-0.9968262,0.20376587,0.08094025,4.0137787,0.01651513998887792,3.0,0.3222163648812012,0.0,0.108, 0.0,-0.054
708.11584,708.08466,0.031180000000063046,0.2849100000000817,0,-0.0018216048799999998,-0.00870340224,-0.011631836,-0.0035858154,-0.003540039,-0.9992218,0.20339203,0.080485344,4.0144615,0.014641279439344528,3.0,0.3224187418205508,0.0,0.108, 0.0,-0.054
708.185,708.11584,0.06915999999989708,0.28533999999990556,0,0.00237012352,0.00665865076,0.0166150264,-0.0026245117,-0.003479004,-0.99775696,0.2035904,0.08120394,4.0161476,0.018055863804216147,3.0,0.32204996670914465,0.0,0.108, 0.0,-0.054
708.2146,708.185,0.029600000000073123,0.24743999999998323,0,0.0028645886199999996,0.008207338839999998,0.020517098,-0.0052337646,-0.0018463135,-0.99871826,0.20370483,0.081534624,4.016876,0.022282674640581417,3.0,0.32159347113881726,0.0,0.108, 0.0,-0.054
708.2847,708.2146,0.07010000000002492,0.2685999999999922,0,0.00281168444,0.008681595859999999,0.022341121,-0.0063476562,-0.0024414062,-0.99887085,0.20376745,0.081438065,4.0167146,0.024132993258258455,3.0,0.3213936367281081,0.0,0.108, 0.0,-0.054
708.33154,708.2847,0.04683999999997468,0.24688000000003285,0,0.002739121744,0.009586739219999998,0.024808097491999997,-0.00592041,-0.0019836426,-0.99798584,0.20381927,0.081866026,4.017311,0.026736680010302633,3.0,0.3211124385588873,0.0,0.108, 0.0,-0.054
708.3982,708.33154,0.0666599999999562,0.282359999999926,0,0.003888542984,0.01097988432,0.022899762571999997,-0.0038452148,-0.0032348633,-1.0001678,0.20386505,0.08178997,4.0171394,0.025691978360433233,3.0,0.3212252663370732,0.0,0.108, 0.0,-0.054
708.4316,708.3982,0.03340000000002874,0.24660000000005766,0,0.0015332599240000001,5.1923840000000015e-05,5.488873199999983e-05,-0.0033569336,-0.00093078613,-0.9979248,0.20388794,0.081744194,4.0170403,0.0015351204684341225,3.0,0.3238342069894091,0.0,0.108, 0.0,-0.054
708.485,708.4316,0.05340000000001055,0.2703999999999951,0,0.000986194804,-0.0010509513199999999,-0.002645826308,-0.006210327,-0.0019836426,-0.9978943,0.20394135,0.08167076,4.016876,0.003012884949770112,3.0,0.32367460842542484,0.1,0.108, 0.0,-0.054
708.55005,708.485,0.06505000000004202,0.2653500000000122,0,0.0011050161440000002,-0.0010403532800000001,-0.002834952008,-0.0040283203,-0.0012207031,-0.9985199,0.20400396,0.0815599,4.0166116,0.0032156412289573943,3.0,0.32365271074727264,0.15,0.108, 0.0,-0.054
708.60034,708.55005,0.05028999999990447,0.268799999999942,0,0.0012433770400000002,-0.00153769704,-0.0038734523799999997,-0.07336426,0.7620392,-1.1045227,0.20405579,0.08146596,4.016384,0.004349038053472467,3.0,0.323530303890225,0.3,0.108, 0.0,-0.054
708.64966,708.60034,0.049320000000079744,0.2514600000000655,0,0.00125879316,-0.0016905598600000001,-0.00406619192,-0.043762207,0.45243835,-0.99746704,0.2040863,0.08135867,4.01614,0.004580007597174845,3.0,0.3235053591795051,0.35,0.108, 0.0,-0.054
708.7147,708.64966,0.06503999999995358,0.28309999999999036,0,0.00458469982,-0.00242993432,-0.04336167608,-0.021408081,0.3902893,-1.0581512,0.20456696,0.08120084,4.0098114,0.04367103165378471,3.0,0.3192835285813913,0.45,0.108, 0.0,-0.054
708.74786,708.7147,0.03315999999995256,0.26285999999993237,0,0.0118771445,-0.00503511866,-0.11212380044,-0.028762817,0.19924927,-0.88560486,0.20561218,0.08083415,4.0001945,0.1128634821654157,3.0,0.3118107439261351,0.5,0.108, 0.0,-0.054
708.8145,708.74786,0.0666400000000067,0.26444999999989705,0,0.02338246992,-0.00520058466,-0.22898622254000003,0.15213013,0.4124756,-0.9338684,0.20864868,0.08068657,3.971859,0.2302356968271948,3.0,0.299134544742663,0.0,0.108, 0.0,-0.054
708.9332,708.8145,0.1187000000001035,0.3328600000000961,0,0.035059296559999995,-0.007792276200000001,-0.4039500810600001,0.21885681,0.03274536,-0.6365204,0.2179718,0.078519344,3.8836021,0.40554351410426936,3.0,0.2802013004767389,0.0,0.108, 0.0,-0.054
708.9669,708.9332,0.033699999999953434,0.31723999999996977,0,0.052868688799999994,-0.01090793368,-0.605608514,-0.789917,0.09420776,-0.682312,0.22245342,0.07730294,3.846967,0.6080096656319591,3.0,0.25833495611174845,0.0,0.108, 0.0,-0.054
709.01636,708.9669,0.04945999999995365,0.30165999999996984,0,0.0727050062,-0.020026112340000003,-0.8408478840000001,-0.6694031,1.314743,-1.92099,0.229599,0.07465649,3.7815819,0.8442228539486917,3.0,0.23282393177354133,0.0,0.108, 0.0,-0.054
709.0674,709.01636,0.05104000000005726,0.31954000000007454,0,0.09255311420000001,-0.03586186434000001,-1.03399996,-1.0275421,-0.16812134,-1.3378143,0.23773193,0.07260418,3.70438,1.0387531321454875,3.0,0.21181466172828736,0.0,0.108, 0.0,-0.054
709.1333,709.0674,0.06589999999994234,0.3188000000000102,0,0.09907466880000002,-0.043822617800000005,-1.25080447,-0.02911377,-0.54582214,-0.85665894,0.24677277,0.07079983,3.5864944,1.255487169986478,3.0,0.1884073856414604,0.0,0.108, 0.0,-0.054
709.1852,709.1333,0.05190000000004602,0.2519999999999527,0,0.10386426600000001,-0.0429919596,-1.3798987600000001,-0.24064636,-0.14128113,-0.9294586,0.25492412,0.069399364,3.5009892,1.384469819891898,3.0,0.17447725945167503,0.0,0.108, 0.0,-0.054
709.23315,709.1852,0.04795000000001437,0.26625000000001364,0,0.10549354320000001,-0.0430556958,-1.4717131,-0.23995972,-0.75086975,-0.74458313,0.2634522,0.0668602,3.4204812,1.4761172478191977,3.0,0.16457933723552665,0.0,0.108, 0.0,-0.054
709.28467,709.23315,0.05151999999998225,0.26831000000004224,0,0.10348054079999999,-0.040187011800000005,-1.47898816,0.3419342,-0.0798645,-0.8700409,0.27046204,0.064468384,3.3420982,1.483148406485966,3.0,0.16381997209951568,0.0,0.108, 0.0,-0.054
709.348,709.28467,0.06332999999995081,0.2805999999999358,0,0.1029355188,-0.0303324064,-1.53223578,0.10385132,0.16107178,-1.0813293,0.27925268,0.06223965,3.2425828,1.535989017350335,3.0,0.15811318612616382,0.0,0.108, 0.0,-0.054
709.4167,709.348,0.06870000000003529,0.28340000000002874,0,0.11007751680000002,-0.0344199284,-1.44839888,-0.016036987,-1.0056763,-0.7963562,0.28733984,0.058981184,3.1480737,1.4529835190948208,3.0,0.16707777993775938,0.0,0.108, 0.0,-0.054
709.44824,709.4167,0.03154000000006363,0.26304000000004635,0,0.1189048208,-0.039840414000000005,-1.43028408,0.32841492,-0.57847595,-0.7426605,0.2910614,0.057739735,3.1031647,1.4357709303710735,3.0,0.16893673951992408,0.0,0.108, 0.0,-0.054
709.517,709.44824,0.06875999999999749,0.28385000000002947,0,0.11631188080000002,-0.044656838,-1.36734186,-0.19961548,0.0019989014,-1.0530701,0.29808965,0.054364447,3.0171113,1.3730063542837854,3.0,0.1757153137373512,0.0,0.108, 0.0,-0.054
709.56714,709.517,0.05013999999994212,0.28246999999998934,0,0.11205134800000001,-0.0480691008,-1.2956577,0.04699707,-0.4911499,-0.95007324,0.30245972,0.051767588,2.9564629,1.3013819649163836,3.0,0.1834507477890306,0.0,0.108, 0.0,-0.054
709.6155,709.56714,0.0483600000000024,0.2675000000000409,0,0.10701284,-0.0451652502,-1.20854048,0.16540527,-0.5426941,-0.76260376,0.30728307,0.049974922,2.8976235,1.2141094429865558,3.0,0.19287618015745198,0.0,0.108, 0.0,-0.054
709.6664,709.6155,0.05089999999995598,0.24969999999996162,0,0.098701052,-0.038240133800000006,-1.16139592,0.15531921,-0.08615112,-0.9188843,0.31125036,0.048174147,2.8422952,1.1662095388443687,3.0,0.1980493698048082,0.0,0.108, 0.0,-0.054
709.71625,709.6664,0.04984999999999218,0.26800999999989017,0,0.0796054908,-0.035703029000000004,-1.06804346,0.06390381,0.16441345,-1.202301,0.31353155,0.046823267,2.7892098,1.0716009391998755,3.0,0.20826709856641346,0.05,0.108, 0.0,-0.054
