t,vx,vz,vy,v_ref,x,y,z,throttle,kp,ki,kd
15:04.7,-0.025215808,-0.12898542,-3.2568426,0,0.6719289,0.19995426,2.269956,0,0.04,0,0.0002
15:04.7,-0.025215808,-0.12898542,-3.2568426,0,0.6719289,0.19995426,2.269956,0,0.04,0,0.0002
15:04.7,0.03161807,-0.20700926,-3.6928656,0,0.67011696,0.2071819,2.3929198,0,0.06,0,0.0002
15:04.8,-0.019015016,-0.14658445,-3.2149847,0,0.6704679,0.20988736,2.4522574,0,0.04,0,0.0002
15:04.8,0.00624033,-0.21686167,-3.4220288,0,0.67036307,0.21352984,2.509735,0,0.06,0,0.0002
15:04.8,0.00624033,-0.21686167,-3.4220288,0,0.67036307,0.21352984,2.509735,0,0.06,0,0.0002
15:04.9,-0.001247173,-0.13639754,-3.101455,0,0.67044884,0.21924752,2.6197672,0,0.04,0,0.0002
15:04.9,-0.06532631,-0.13294087,-3.2645988,0,0.6715081,0.22140315,2.6727026,0,0.04,0,0.0002
15:04.9,-0.06532631,-0.13294087,-3.2645988,0,0.6715081,0.22140315,2.6727026,0,0.04,0,0.0002
15:05.0,-0.047224317,-0.1475093,-2.9260592,0,0.67343307,0.22595398,2.7731266,0,0.04,0,0.0002
15:05.0,-0.023929236,-0.11354301,-2.8563673,0,0.67383134,0.22784379,2.820668,0,0.04,0,0.0002
15:05.0,-0.023929236,-0.11354301,-2.8563673,0,0.67383134,0.22784379,2.820668,0,0.04,0,0.0002
15:05.1,-0.05682733,-0.15707327,-2.6790104,0,0.6754222,0.23219039,2.9115148,0,0.04,0,0.0002
15:05.1,-0.050729007,-0.14578861,-2.5829976,0,0.67627,0.23462681,2.9546819,0,0.04,0,0.0002
15:05.1,-0.050729007,-0.14578861,-2.5829976,0,0.67627,0.23462681,2.9546819,0,0.04,0,0.0002
15:05.2,-0.06463765,-0.13383065,-2.0965054,0,0.67848825,0.23951162,3.035656,0,0.03,0,0.0002
15:05.2,-0.11948522,-0.14270931,-2.6107593,0,0.68023974,0.24160354,3.073926,0,0.04,0,0.0002
15:05.2,-0.11948522,-0.14270931,-2.6107593,0,0.68023974,0.24160354,3.073926,0,0.04,0,0.0002
15:05.3,-0.06363954,-0.07576366,-1.8937829,0,0.6828665,0.24493103,3.1461473,0,0.03,0,0.0002
15:05.3,-0.07447204,-0.18440525,-2.2885892,0,0.6839654,0.24765202,3.1799164,0,0.04,0,0.0002
15:05.3,-0.07447204,-0.18440525,-2.2885892,0,0.6839654,0.24765202,3.1799164,0,0.04,0,0.0002
15:05.4,-0.047749415,-0.10595536,-1.7971557,0,0.68578166,0.25166416,3.2436604,0,0.03,0,0.0002
15:05.4,-0.007580904,-0.10581489,-1.8317554,0,0.68590534,0.2533909,3.273552,0,0.03,0,0.0002
15:05.4,-0.007580904,-0.10581489,-1.8317554,0,0.68590534,0.2533909,3.273552,0,0.03,0,0.0002
15:05.5,-0.019324027,-0.098202035,-1.5855409,0,0.68653786,0.25666815,3.329573,0,0.03,0,0.0002
15:05.5,-0.0067261,-0.102101,-1.6353314,0,0.68664587,0.25830716,3.355825,0,0.03,0,0.0002
15:05.5,-0.0067261,-0.102101,-1.6353314,0,0.68664587,0.25830716,3.355825,0,0.03,0,0.0002
15:05.6,-0.01781505,-0.076022424,-1.3203326,0,0.6874013,0.26131082,3.4039018,0,0.03,0,0.0002
15:05.6,0.000382765,-0.07128194,-1.3607455,0,0.687395,0.2624874,3.426363,0,0.03,0,0.0002
15:05.6,0.000382765,-0.07128194,-1.3607455,0,0.687395,0.2624874,3.426363,0,0.03,0,0.0002
15:05.7,-0.042306975,-0.044477265,-1.1075524,0,0.68823457,0.2644645,3.4677248,0,0.03,0,0.0002
15:05.7,-0.058812708,-0.04201691,-1.2315347,0,0.6891779,0.26513845,3.4874783,0,0.03,0,0.0002
15:05.7,-0.058812708,-0.04201691,-1.2315347,0,0.6891779,0.26513845,3.4874783,0,0.03,0,0.0002
15:05.8,-0.025369069,-0.04954553,-0.83821636,0,0.6902764,0.26686978,3.5205982,0,0.03,0,0.0002
15:05.8,-0.0425979,-0.041342348,-1.1131046,0,0.69090533,0.26748016,3.5370321,0,0.03,0,0.0002
15:05.8,-0.0425979,-0.041342348,-1.1131046,0,0.69090533,0.26748016,3.5370321,0,0.03,0,0.0002
15:05.9,-0.004273385,-0.039008986,-0.73613495,0,0.6912817,0.268718,3.5639112,0,0.03,0,0.0002
15:05.9,-0.07096768,-0.00921735,-0.9334862,0,0.6924807,0.26887375,3.5796828,0,0.03,0,0.0002
15:05.9,-0.07096768,-0.00921735,-0.9334862,0,0.6924807,0.26887375,3.5796828,0,0.03,0,0.0002
15:06.0,-0.001372589,0.000486865,-0.5774867,0,0.69333005,0.269253,3.6045485,0,0.03,0,0.0002
15:06.0,-0.000116183,0.002158872,-0.83480185,0,0.6933315,0.26922584,3.6150413,0,0.03,0,0.0002
15:06.0,-0.000116183,0.002158872,-0.83480185,0,0.6933315,0.26922584,3.6150413,0,0.03,0,0.0002
15:06.1,0.002018197,-0.011214719,-0.31491113,0,0.6932922,0.26960617,3.6293795,0,0.03,0,0.0002
15:06.1,0.009346947,-0.016143214,-0.61361253,0,0.6931499,0.26985186,3.6387177,0,0.03,0,0.0002
15:06.1,0.009346947,-0.016143214,-0.61361253,0,0.6931499,0.26985186,3.6387177,0,0.03,0,0.0002
