t,prev_t,dt,_dt_sum,de,vx,vy,vz,ax,ay,az,x,y,z,v_current,v_ref,throttle_computer,throttle_vehicle,kp,ki,kd
4.614019,0,0,0,0,-0.0010578417,0.00018283684,-0.0009141842,-0.0019683838,-0.0053100586,-0.99905396,-1.2164508,2.0966952,-3.9678907,0.0014100323130516249,3.0,0.3778223359285555,0.0,0.12600000000000003, 0.0,-0.007200000000000001
4.682361,4.614019,0.06834200000000035,0,0,-0.00074876928,0.00016901197999999999,-0.00076746635,-0.003479004,-0.0032958984,-0.9986725,-1.2164882,2.096699,-3.9679298,0.0010854607696446524,3.0,0.3778632319430248,0.0,0.12600000000000003, 0.0,-0.007200000000000001
4.712001,4.682361,0.029639999999999667,0,0,-0.0009933445533333333,0.0003679027533333333,-0.0008157458099999999,-0.00088500977,-0.0018310547,-0.9991913,-1.216568,2.0967379,-3.9679735,0.0013369843170657626,3.0,0.3778315399760498,0.37782234,0.12600000000000003, 0.0,-0.007200000000000001
4.795882,4.712001,0.08388099999999987,0,0,-0.00157900959,0.000373770775,-0.0013712629324999998,-0.0036773682,-0.002319336,-0.9996338,-1.2166365,2.0967493,-3.968049,0.0021244617924558134,3.0,0.3777323178141506,0.37783155,0.12600000000000003, 0.0,-0.007200000000000001
4.831047,4.795882,0.03516500000000011,0.217028,0.010239468917939209,-0.001502059072,0.000343637212,-0.001317488586,0.008987427,0.4151001,-1.0527344,-1.2167153,2.0967596,-3.968112,0.002027324385363357,3.0,0.3777240781896084,0.37783155,0.12600000000000003, 0.0,-0.007200000000000001
4.865205,4.831047,0.03415799999999969,0.2511859999999997,0.012106413205850031,-0.001345114978,0.00033377503,-0.001343437766,0.3728943,0.48786926,-1.0088959,-1.2167298,2.0967634,-3.968151,0.0019301722995127954,3.0,0.37773258546384975,0.37772408,0.12600000000000003, 0.0,-0.007200000000000001
4.929019,4.865205,0.0638140000000007,0.24665800000000004,0.399901495819486,0.004515310794,0.0073871528059999995,-0.027401436066000002,0.43643188,0.029312134,-0.80233765,-1.2163701,2.0976567,-3.9713478,0.02873667963813308,3.0,0.3735793753739563,0.37772408,0.12600000000000003, 0.0,-0.007200000000000001
4.98219,4.929019,0.05317099999999986,0.27018900000000023,1.2233727617839925,0.007618468014000001,0.027670117946,-0.08945030111999999,-0.18902588,0.7160492,-1.024826,-1.2159251,2.1016,-3.9848614,0.09394164599624899,3.0,0.3637166070809047,0.37773257,0.12600000000000003, 0.0,-0.007200000000000001
5.045377,4.98219,0.0631870000000001,0.24949500000000047,2.8924443534438917,0.017957992554,0.052276608978,-0.19479515826,-0.31448364,0.713089,-1.1807098,-1.2144638,2.107704,-4.008955,0.20248576993049824,3.0,0.34670190428186953,0.3637166,0.12600000000000003, 0.0,-0.007200000000000001
5.08286,5.045377,0.03748299999999993,0.2518130000000003,4.839646156266761,0.026578585354000005,0.08656019638600002,-0.32819178002,-0.21922302,0.34370422,-0.8328552,-1.2127963,2.1175709,-4.0436916,0.3404540105072913,3.0,0.32542350236354783,0.3637166,0.12600000000000003, 0.0,-0.007200000000000001
5.14735,5.08286,0.06449000000000016,0.28214500000000076,6.40614256341779,0.0342742436,0.1344823292,-0.512345774,0.10595703,-0.48727417,-0.2205658,-1.2101262,2.1342838,-4.1058745,0.530809205625777,3.0,0.2983057549643166,0.3467019,0.12600000000000003, 0.0,-0.007200000000000001
5.21254,5.14735,0.06518999999999942,0.28352099999999947,8.822096796419945,0.0386103726,0.21271922199999999,-0.7585248059999999,0.7146301,0.89711,-0.89016724,-1.207193,2.1575966,-4.188039,0.7887332309456307,3.0,0.2609754193080107,0.3254235,0.12600000000000003, 0.0,-0.007200000000000001
5.245269,5.21254,0.032729000000000674,0.2630790000000003,11.938996485510202,0.041134880199999994,0.280581704,-1.03687804,0.004562378,0.9384155,-1.1412811,-1.2056051,2.1705081,-4.2356997,1.0749577856003711,3.0,0.2186773260433329,0.29830575,0.12600000000000003, 0.0,-0.007200000000000001
5.2981,5.245269,0.052830999999999406,0.2527229999999996,14.323123496633356,0.0359100906,0.361030472,-1.2961276,-0.470932,0.05609131,-0.8108368,-1.2030885,2.1939585,-4.317027,1.3459492159071986,3.0,0.1797641518024263,0.21867733,0.12600000000000003, 0.0,-0.007200000000000001
5.395721,5.2981,0.09762100000000018,0.31286099999999983,14.374654771303588,0.030177673,0.48941275199999995,-1.7111821800000002,0.4897461,0.48364258,-0.7774048,-1.1991887,2.2491844,-4.510674,1.7800505574048906,3.0,0.12496432022437665,0.17976415,0.12600000000000003, 0.0,-0.007200000000000001
5.4469957,5.395721,0.05127470000000045,0.2996457000000001,14.962762893564216,0.0252822418,0.569815634,-1.9525542000000002,0.40740967,0.9505005,-1.4609833,-1.1972092,2.2806678,-4.622116,2.034157553494541,3.0,0.09177062247255943,0.17976415,0.12600000000000003, 0.0,-0.007200000000000001
5.4957,5.4469957,0.04870429999999981,0.2831600000000005,17.03210618839681,0.026101615,0.629287454,-2.3310388800000004,0.7229614,0.46572876,-0.7507477,-1.195714,2.3116393,-4.7440286,2.41462756012994,3.0,0.03969271504683394,0.17976415,0.12600000000000003, 0.0,-0.007200000000000001
5.564373,5.4957,0.06867299999999954,0.3191039999999994,13.901991675718438,0.027835709200000003,0.6752806619999999,-2.4880612199999996,-0.5066223,0.4850006,-1.590805,-1.1935029,2.3593082,-4.921778,2.578221758042879,3.0,0.025340075135160442,0.039692715,0.12600000000000003, 0.0,-0.007200000000000001
5.595763,5.564373,0.03139000000000003,0.297663,14.605384372690134,0.0196615482,0.723925028,-2.8985867599999997,-0.14671326,0.38363647,-0.585083,-1.194348,2.3822954,-5.018548,2.9876845931071303,3.0,-0.027659027476878675,0.039692715,0.12600000000000003, 0.0,-0.007200000000000001
